Bulbasaur	[3,4,5,6/12,13,14,15/A-16-5,6]
Ivysaur		[6,7,8,9/10,11,12,13/3,4,5,15]
Venusaur	[5,4,3,2/0,15,14,0/0,7,6,8;0,9,8-8/0,11,10,0/13]
Charmander	[7,8,9,10-E/0,5,6,0/11,12,13-LN/16/14/A-15-16,14]
Charmeleon	[5,6,7,8/0,9,10,0/0,12-LN/16/14/A-13-9,10/A-15-16,14]
Charizard	[7,8,9,10;0,6,7,0-7/0,12,13,0-LN/16/14/A-15-16,14]
Squirtle	[12,13,14,15/0,4,5,6/7,8,9,10,11-L]
Wartortle	[12,13,14,15/0,6,7,8/0,9,10,11]
Blastoise	[7,8,9,10/0,15,16,0/0,12,13,14,0-L]
Caterpie	[7,6,5,4,3,2/15,14,13,12/0,11,10,9,8]
Metapod		[7,6,5,4,3,2]
Butterfree	[5,4,3,2/11,10,9,8-L/0,7,6,0]
Weedle		[7,8,9,10,11/13,14,15]
Kakuna		[3,4,5,6,7,8]
Beedrill	[3,4,5,6,7/12,0,13,14]
Pidgey		[]
Pidgeotto	[]
Pidgeot		[]
Rattata		[5,6,7,8/0,9,10,11,12,13/0,3,4,0-LN]
Raticate	[10,11,12,13/0,6,7,8,9/0,3,4,5]
Spearow		[7,8,9,10/11,12,13,14,15/0,4,5,6]
Fearow		[3,4,5,6,7/0,9,0,10,11,12]
Ekans		[12,13,14,15,16-LN/6,7,8,9,10/0,3,4,5-LN]
Arbok		[10,11,12,13/2/0,6,7,8-LN]
Pikachu		[3,4,5,6,7,8/0,10,11,0]
Raichu		[ 0,5,6,7,8,9/0,10,11,12,13]
Sandshrew	[4,5,6,7,8/0,9,10]
Sandslash	[]
Nidoran		[]
Nidorina	[]
Nidoqueen	[]
Nidoran		[]
Nidorino	[]
Nidoking	[]
Clefairy	[]
Clefable	[]
Vulpix		[]
Ninetales	[]
Jigglypuff	[]
Wigglytuff	[]
Zubat		[]
Golbat		[]
Oddish		[]
Gloom		[]
Vileplume	[]
Paras		[]
Parasect	[]
Venonat		[]
Venomoth	[]
Diglett		[]
Dugtrio		[]
Meowth		[]
Persian		[]
Psyduck		[]
Golduck		[]
Mankey		[13,14,15,16/9,10,11,12/5,6,7-B]
Primeape	[13,14,15,16/8,9,10,11-D/0,6,7-B/0,4,5,0-D]
Growlithe	[]
Arcanine	[]
Poliwag		[]
Poliwhirl	[]
Poliwrath	[]
Abra		[]
Kadabra		[]
Alakazam	[]
Machop		[]
Machoke		[]
Machamp		[]
Bellsprout	[]
Weepinbell	[]
Victreebel	[]
Tentacool	[]
Tentacruel	[]
Geodude		[]
Graveler	[]
Golem		[]
Ponyta		[]
Rapidash	[]
Slowpoke	[]
Slowbro		[]
Magnemite	[]
Magneton	[]
Farfetch	[]
Doduo		[]
Dodrio		[]
Seel		[]
Dewgong		[]
Grimer		[]
Muk			[]
Shellder	[]
Cloyster	[]
Gastly		[]
Haunter		[]
Gengar		[]
Onix		[]
Drowzee		[]
Hypno		[]
Krabby		[]
Kingler		[]
Voltorb		[]
Electrode	[]
Exeggcute	[]
Exeggutor	[]
Cubone		[]
Marowak		[]
Hitmonlee	[]
Hitmonchan	[]
Lickitung	[]
Koffing		[]
Weezing		[]
Rhyhorn		[]
Rhydon		[]
Chansey		[]
Tangela		[]
Kangaskhan	[]
Horsea		[]
Seadra		[]
Goldeen		[]
Seaking		[]
Staryu		[]
Starmie		[]
Mr. mime	[]
Scyther		[]
Jynx		[]
Electabuzz	[]
Magmar		[]
Pinsir		[]
Tauros		[]
Magikarp	[]
Gyarados	[]
Lapras		[]
Ditto		[]
Eevee		[]
Vaporeon	[]
Jolteon		[]
Flareon		[]
Porygon		[]
Omanyte		[]
Omastar		[]
Kabuto		[]
Kabutops	[]
Aerodactyl	[]
Snorlax		[]
Articuno	[]
Zapdos		[]
Moltres		[]
Dratini		[]
Dragonair	[]
Dragonite	[]
Mewtwo		[]
Mew			[]
Chikorita	[]
Bayleef		[]
Meganium	[]
Cyndaquil	[]
Quilava		[]
Typhlosion	[]
Totodile	[]
Croconaw	[]
Feraligatr	[]
Sentret		[]
Furret		[]
Hoothoot	[]
Noctowl		[]
Ledyba		[]
Ledian		[]
Spinarak	[]
Ariados		[]
Crobat		[]
Chinchou	[]
Lanturn		[]
Pichu		[]
Cleffa		[]
Igglybuff	[]
Togepi		[]
Togetic		[]
