Bulbasaur	[3,4,5,6/12,13,14,15]
Ivysaur		[6,7,8,9/10,11,12,13/3,4,5,15;14,15-15]
Venusaur	[5,4,3,2/15,14,13/7,6,8;9,8-8/11,10]
Charmander	[7,8,9,10/5,6/14,15,16-DN/11,12,13]
Charmeleon	[5,6,7,8/9,10/14,15,16-DN]
Charizard	[7,8,9,10;6,7-7/14,15,16-DN/11,12,13]
Squirtle	[12,13,14,15/4,5,6/7,8,9,10,11]
Wartortle	[12,13,14,15/6,7,8/9,10,11]
Blastoise	[7,8,9,10/11,13-L/14,0,15,16-LN/A-12-11,13]
Caterpie	[7,6,5,4,3,2/11,10,9,8-L/15,14,13,12]
Metapod		[7,6,5,4,3,2]
Butterfree	[5,4,3,2;15,14,13,12,2-2/7,6/11,10,9,8]
Weedle		[7,8,9,10,11/12,13,14,15]
Kakuna		[3,4,5,6,7,8]
Beedrill	[3,4,5,7/12,13,14,0-LN/A-6-5,7]
Pidgey		[12,13,14,15-D/9,10,11,0/6,7,8,0-LN]
Pidgeotto	[0,10,11,12-D/6,7,8,0/13,14,15,16-LN]
Pidgeot		[0,13,14,15-D;11,12,0,15-15/4,5,6,0/7,8,9,10-LN]
Rattata		[5,6,7,8/9,10,11,12,13/3,4]
Raticate	[10,11,12,13/6,7,8,9/3,4,5]
Spearow		[7,8,9,10/11,12,13,14,15/3,4,5,6]
Fearow		[3,4,5,6,7/8,9,10,11,12/14,15,16-L]
Ekans		[12,13,14,15,16/6,7,8,9,10/3,4,5]
Arbok		[10,11,12,13/2,3,4/5,6,7,8]
Pikachu		[3,4,5,6,7,8]
Raichu		[3,4,5,6,7,8/12,13,9-D;10,11,12-12]
Sandshrew	[4,5,6,7,8/13,12,11]
Sandslash	[3,4,5,6/0,13,14,15-LN]
Nidoran		[3,4,5,6/9,11]
Nidorina	[12,13,14,15/0,5,6,7]
Nidoqueen	[12,13,14,15/4,5,6,7]
Nidoran		[11,12,13,14/0,7,8,9]
Nidorino	[11,12,13,14/6,7,8]
Nidoking	[12,13,14,15/9,10,11/2,3,4,5-L]
Clefairy	[12,13,14,15/7,8,9,10]
Clefable	[5,6,7,8,9/13,14,15]
Vulpix		[13,14,15,16;7,8,16-16/9,10,11,12/4]
Ninetales	[11,12,13,14,15/3,4,5/8/A-7-13,8]
Jigglypuff	[13,14,15,16/5,6,7/9]
Wigglytuff	[12,13,14,15/5,6,7/9,10]
Zubat		[7,8,9,10/11,12,13,14]
Golbat		[6,7,8,9/10,11,12,13]
Oddish		[12,13,14,15/5,6,7,8/4,3]
Gloom		[0,13,14,15/2,3,4,5,6/7,8,9,10/11]
Vileplume	[0,13,14,15/0,10,11,0/6,7,8,9/3,4,5]
Paras		[11,12,13,14/7,8,9/5,6]
Parasect	[12,13,14,15/7,8,9,10/5,6]
Venonat		[12,13,14,15/5,6,7,8/9,10,11]
Venomoth	[12,13,14,15,16//5,6,7,8]
Diglett		[13,14,15,16/3,4,5,6/7,8,9,10]
Dugtrio		[13,14,15,16/3,4,5,6/7,8,9,10]
Meowth		[13,14,15,16/10,11,12/4,5,6/7,8]
Persian		[12,13,14,15,16//5,6,7/8,9,10]
Psyduck		[12,13,14,15/2,4,5/A-3-2,4]
Golduck		[12,13,14,15/7,8,9,10/4,5,6-LN]
Mankey		[13,14,15,16/9,10,11,12/5,6,7]
Primeape	[13,14,15,16/8,9,10,11/6,7]
Growlithe	[12,13,14,15/8,9,10,11]
Arcanine	[12,13,14,15/8,9,10,11]
Poliwag		[12,13,14,15/9,10,11]
Poliwhirl	[12,13,14,15]
Poliwrath	[12,13,14,15]
Abra		[10,11,12,13,14,15/5,6,7,8]
Kadabra		[11,12,13,14,15/7,8,9,10/6]
Alakazam	[12,13,14,15/6,7,8,9]
Machop		[7,6,5,4,3/12,11,10,9/0,16,15,14]
Machoke		[8,7,5,4/0,12,11,10,9/14,13-LN/A-6-5,7]
Machamp		[7,6,5,4,3/12,11,10,9,8-LN/0,13,14,0-LN]
Bellsprout	[0,15,14,5;5,4,3-5/13,12,11,10/9,8,7,6]
Weepinbell	[8,7,6,5;5,4-5/16,15,14,13/12,11,10,9]
Victreebel	[9,8,7,6;6,5-6/16,15,14,13/0,12,11,10]
Tentacool	[8,7,6,5/12,11,10,9/16,15,14,13]
Tentacruel	[12,13,14,15/3,4,5,6/7,8,9,10]
Geodude		[7,6,5,4,3]
Graveler	[7,6,5,4,3]
Golem		[7,8,9,10/11,12,13,14]
Ponyta		[4,5,6,7,8/12,11,10,9,0]
Rapidash	[4,5,6,7,8/12,11,10,9,0]
Slowpoke	[10,11,12,13,14/6,7,8,9]
Slowbro		[12,13,14,15/3,4,5,6/7,8,9,10]
Magnemite	[12,13,14,15/3,4,5,6,7-LN/8,9/10,11]
Magneton	[12,13,14,15/3,4,5,6,7-LN/8,9/10,11]
Farfetch	[12,13,14,15-D/0,4,5,0/9,10,11,0/6,7,8,0]
Doduo		[6,7,8,9/10,11,12,13]
Dodrio		[2,3,4,5/6,7,8/9,10,11]
Seel		[2,3,4,5/6,7,8,9]
Dewgong		[2,3,4,5,6]
Grimer		[7,8,9,10,11,12/0,4,5,6]
Muk			[7,8,9,10,11,12/0,4,5,6]
Shellder	[2,3,4,5,6]
Cloyster	[2,3,4,5,6/7,8,9,10/11,12,13,14]
Gastly		[7,8,9,10/4,5/11,12,13-L]
Haunter		[2,3,4,5,6/10,11,12]
Gengar		[12,13,14,15/6,7,8]
Onix		[11,12,13,14,15]
Drowzee		[12,11,10,9,8,7/6,5,4,3]
Hypno		[7,6,5,4,3,8/0,14,13,12,11-L/A-9-3,3/A-10-4,4]
Krabby		[12,13,14,15/0,5,6,7,8,9]
Kingler		[2,3,4,5/0,6,7,8,9]
Voltorb		[10,11,12,13,14,15]
Electrode	[11,12,13,14,15]
Exeggcute	[12,13,15,16/0,4,5,0/A-14-13,15]
Exeggutor	[2,3,4,5,6/10,11,12,13/0,7,8,9]
Cubone		[2,3,4,5/0,12,13,0]
Marowak		[13,14,15,16/0,10,11,12/8-B]
Hitmonlee	[2,3,4,5,6/0,10,11,12/13,14,15]
Hitmonchan	[12,13,14,15/3,4,5,6/8,9,10,11]
Lickitung	[11,12,13,14,15/7,8,9,10/4,5,6-L]
Koffing		[12,13,14,15/9,10,11/0,4,5,0]
Weezing		[11,12,13,14,15/8,9,10/0,5,4,0]
Rhyhorn		[2,3,4,5,6]
Rhydon		[12,13,14,15/3,4,5,6]
Chansey		[12,13,14,15,16/9,10,11]
Tangela		[2,3,4,5/6,7,8,9]
Kangaskhan	[13,14,15,16;8,9,16-16/0,10,11,12/4,5-L]
Horsea		[5,6,7,8/0,9,10,11/0,12,13,0-LN]
Seadra		[0,3,4,5,6,7/0,8,9,10]
Goldeen		[6,7,8,10;11,12,10-10]
Seaking		[9,10,11,12,13;14,15,16,13-13/3,4,5,6-L]
Staryu		[3,4,5,6,7/8,9,10,11,12/14,15,16,0]
Starmie		[3,4,5,6,7/8,9,10,11,12/13,14,15,16]
Mr. mime	[10,11,12,13/6,7,8,9/3,4,5-D]
Scyther		[12,13,14,15/0,8,9,11/6,7]
Jynx		[0,10,11,12/3,4,5,6/13,14,15,16]
Electabuzz	[3,4,5,6,7]
Magmar		[3,4,5,6,7/8,9,10,11,12]
Pinsir		[3,4,5,6,7/0,9,10,11,12,13]
Tauros		[3,4,5,6,7/13,14,15,16]
Magikarp	[3,4,5,6,7,8/9,10,11,12]
Gyarados	[7,6,5,4,3/16,15,14/9,8-L-E]
Lapras		[3,4,5,6,7/8,9,11;13,14,15,11-11]
Ditto		[3,4,5,6,7,8]
Eevee		[0,3,4,5,6,7/0,8,9,10]
Vaporeon	[3,4,5,6/7,8-D/12,13,14]
Jolteon		[4,5,6,7,8]
Flareon		[3,4,5,6,7/8,9,10,11]
Porygon		[3,4,5,6,7/8,9,10,11,12]
Omanyte		[3,4,5,6,7/8,9,10,11,12]
Omastar		[3,4,5,6/7,8,9,10,11,12,14]
Kabuto		[3,4,5,6,7/9,10,11,12/15,16]
Kabutops	[3,4,5,6,7]
Aerodactyl	[3,4,5,6/7,8,9,10/14]
Snorlax		[3,4,5,6/7,8,9,10/14,15,16]
Articuno	[3,4,5,6,7,8/14,15,16/13,12]
Zapdos		[3,4,5,6,7;8,9,7-7/10,11,12]
Moltres		[3,4,5,6/11,12,13/10,9,8,7]
Dratini		[3,4,5,6,7]
Dragonair	[3,4,5,6,7/12,13,14]
Dragonite	[3,4,5,6,7/8,9,10/11,12,13]
Mewtwo		[3,4,5,6,7/10,11,12,13]
Mew			[3,4,5,6,7/10,11,12-D]
Chikorita	[3,4,5,6,7/11,12,13,14/15,16,10-E]
Bayleef		[3,4,5,6,7/8,9,10,11/15,16-LN]
Meganium	[3,4,5,6/15,16,7/8,9,10,11]
Cyndaquil	[7,8,9,10/3,4,5,6/11,12,13,14,0]
Quilava		[7,8,9,10/3,4,5,6/11,12,13,14,0]
