Bulbasaur	[3,4,5,6/12,13,14,15]
Ivysaur		[7,8,11,13;9,10,3,13-13/4,5,6,16;14,15,16-16]
Venusaur	[5,4,3,2;11,15,14,2-2/10,9,7,6/13,12]
Charmander	[10,11,12,13/16,15,14-LN/5,6,7/9,8]
Charmeleon	[11,12,13,14//5,6,7/10,9,8/4]
Charizard	[11,12,13,14/4,5,6-LN/8,3;8,9,2-8]
Squirtle	[12,13,14,15/3,4,5]
Wartortle	[12,13,14,15;3,4,13-13-DN-E/6,7,8]
Blastoise	[12,13,14,15/9,10,11,5/8,7-L] T
Caterpie	[10,11,12,13/6,7,8,9;4,5,9-9/2,3-L]
Metapod		[3,4,5,6]
Butterfree	[5,6,7,8/13,14-L/15,16-DN/9,10,11,12]
Weedle		[5,6,7,8;14,6-6-DN/9,10,11,12]
Kakuna		[3,4,5,6,7]
Beedrill	[3,4,5,6/11,12,13]
Pidgey		[10,11,12,13-LN;7,8,9,13-13/4,5,6-L] T
Pidgeotto	[10,11,12,13-LN;7,8,9,13-13/4,5,6-L] T
Pidgeot		[10,7,12,13,14,15-LN;7,8,9-7/4,5,11,6-L] T
Rattata		[8,9,10,11-LN/6,7/4,5]
Raticate	[9,10,11,12/5,6,7,8-L]
Spearow		[11,12,13,14/15,7,8,9,10/4,5,6]
Fearow		[10,11,12,13,14;7,15,8,9,14-14]
Ekans		[13,14,15,16/2,7,8,9,10]
Arbok		[10,11,12,13/5,6,7,8/2,3,4]
Pikachu		[3,4,5,6,7/11,12,13]
Raichu		[3,4,5,6/8,9/10,11,12,13-D]
Sandshrew	[4,5,6,8,7]
Sandslash	[3,4,5,6/2,8,9,10-L-E/11,12,13,14]
Nidoran		[2,3,4,5,6/9,10,11]
Nidorina	[11,12,13,14,15/5,6,7]
Nidoqueen	[12,13,14,15/4,5,6,7]
Nidoran		[11,12,13,14/7,8,9]
Nidorino	[11,12,13,14/6,7,8]
Nidoking	[12,13,14,15/9,10,11/A-8-13,14]
Clefairy	[12,13,14,15/7,8,9,10]
Clefable	[6,7,8,9/13,14,15/A-5-6,7]
Vulpix		[13,14,15,16;9,10,11,12,16-16/6,7,8-D/3,4-L]
Ninetales	[12,13,10,14,11,15/3,4,5-D]
Jigglypuff	[13,14,15,16/3,4,5,6/7,8-D]
Wigglytuff	[12,13,14,15,16/3,5,6]
Zubat		[7,8,9,10/11,12,13,14]
Golbat		[6,7,8,9/10,11,12,13]
Oddish		[12,13,14,15/5,6,7,8]
Gloom		[12,13,14,15/3,4,5,11;8,9,10,11-11/5/2,7-L] T
Vileplume	[12,13,14,15/6,7,8,9;3,4,5,9-9/10,11-L]
Paras		[11,12,13,14/7,8,9/5,6]
Parasect	[12,13,14,15;7,8,12,9,10-12/5,6]
Venonat		[12,13,14,15;12,3-12/6,7,8/9,10,11] T
Venomoth	[12,13,14,15,16/5,6,7,8]
Diglett		[12,13,14,15/3,4,5/6,7,8,9]
Dugtrio		[12,13,14,15/3,4,5/6,7,8,9]
Meowth		[13,14,15,16/10,11,12/3,4,5]
Persian		[13,14,15,16/8,9,10-DN/5,6,7] T
Psyduck		[12,13,14,15/2,3,4,5-L-E]
Golduck		[12,13,14,15/7,8,9,10-L-E/4,5,6]
Mankey		[13,14,15,16/9,10,11,12/4,5,6,7]
Primeape	[13,14,15,16/8,9,10,11/6,7/4,5]
Growlithe	[12,13,14,15/8,9,10,11-DN]
Arcanine	[12,13,14,15/8,9,10,11-DN]
Poliwag		[12,13,14,15/9,10,11]
Poliwhirl	[12,13,14,15]
Poliwrath	[12,13,14,15]
Abra		[12,13,14,15/6,7,8,9-D]
Kadabra		[12,13,14,15/6,7,8,9/4,5]
Alakazam	[12,13,14,15/6,7,8,9]
Machop		[12,13,14,15/3,4,5,6-LN/8,9,10-DN]
Machoke		[12,13,14,15/3,4,5,6-LN/8,9,10-DN]
Machamp		[12,13,14,15/3,4,5,6-LN/7,8-DN]
Bellsprout	[2,7,8,9,14,15/10,11,12,3/4,5,6]
Weepinbell	[7,8,9,3/10,11,12,13/4,5,6]
Victreebel	[7,8,9,3/10,11,12,13/5,6]
Tentacool	[12,13,14,15/3,4,5,6/7,8,9,10]
Tentacruel	[12,13,14,15/3,4,5,6/7,8,9,10]
Geodude		[12,13,14,15]
Graveler	[13,14,15,16/6,7]
Golem		[6,7,8,9/10,11,12,13/5,4]
Ponyta		[10,11,12,13/3,4,5,6-L-E]
Rapidash	[10,11,12,13/3,4,5,6,7-L-E]
Slowpoke	[12,13,14,15/4,5,6,7-L-E]
Slowbro		[12,13,14,15/3,4,5,6-L-E/7,8,9,10]
Magnemite	[12,13,14,15/4,5/6,7/8,9,10,11-LN] T
Magneton	[12,13,14,15/4,5/6,7/8,9,10,11-LN] T
Farfetch	[12,13,14,15/9,10,11/4,5-L/6,7,8]
Doduo		[6,7,8,9/10,11,12-L-E]
Dodrio		[2,3,4,5,14/6,7,8-L-E/9,10,11]
Seel		[16,2,3,4,5-DN/6,7,8/9,10,11]
Dewgong		[16,2,3,4,5-DN]
Grimer		[6,7,8,9/2,3,4,5]
Muk			[2,3,4,5,6/7,8,9,10]
Shellder	[1,3,4,5,6-DN/7,8,9]
Cloyster	[3,4,5,6//11,12,13,14]
Gastly		[11,7,8,9,10/4,5]
Haunter		[2,3,4,5/10,11,12]
Gengar		[12,13,14,15/6,7-DN]
Onix		[11,12,13,14,15]
Drowzee		[12,13,14,15,11;8,9,10,11-11]
Hypno		[2,3,4,6,5]
Krabby		[12,13,14,15/5,6,7,8]
Kingler		[2,3,4,5/6,7,10,8,9]
Voltorb		[11,12,13,14,15/A-10-11,12]
Electrode	[11,12,13,14,15]
Exeggcute	[12,13,14,15,16/4,5]
Exeggutor	[2,3,4,8;6,7,8-8/9,10,11,12]
Cubone		[2,3,4,5/10,11,12-L]
Marowak		[13,14,15,16/9,10,11,12-L-E/8-LN]
Hitmonlee	[2,3,4,5,6/12,13/9,10,11]
Hitmonchan	[12,13,14,15-LN/7,8,9,10/3,4,5,6]
Lickitung	[11,12,13,14,15;6,7,8,9,15-15/3,4,5-E] T
Koffing		[12,13,14,15/10,11/4,5-L]
Weezing		[11,12,13,14,15/4,5/8,9-L]
Rhyhorn		[2,3,4,5,6-DN/7,8-LN]
Rhydon		[12,13,14,15-DN/7,8,9-LN/3,4,5,6-L-E]
Chansey		[12,13,14,15,16/9,10,11]
Tangela		[2,3,4,5/6,7,8]
Kangaskhan	[13,14,15,16;10,11,12,16-16/4,5-L/8,9]
Horsea		[6,7,8,9/10,11,5,4-DN-E/12,13]
Seadra		[3,2,4,5,6,7/8,9,10,11-DN-E]
Goldeen		[6,7,8,9,10/13,14]
Seaking		[10,11,12,13/2,3,4,5]
Staryu		[7,8,15,9,10/11,12,13,14/3,4,5,6]
Starmie		[2,3,4,5/11,12,13,14/6,7,8,9]
Mr. mime	[10,11,12,14,13/6,7,8,9/16,2,3;3,4,5-3]
Scyther		[12,13,14,15/8,6,7,11/A-6-9]
Jynx		[7,8,9,10/4,5,6-LN/11,12,13,14]
Electabuzz	[13,14,15,16-E/9,10]
Magmar		[12,13,14,15/8,9,10,11-L]
Pinsir		[12,13,14,15/3,4,5,6/A-11-13,14]
Tauros		[12,13,14,15/8,9,10,11/3,4,5,6-L-E]
Magikarp	[13,14,15,16/7,8,9/10,11,12]
Gyarados	[5,6,7,8/9,10,11-L-E/12,13,14]
Lapras		[12,13,14,15/5,6,7/8,9,10,11]
Ditto		[6,7,8,9,10]
Eevee		[12,13,14,15/3,4,5,6-L-E]
Vaporeon	[12,13,14,15/8,9,10-D/5,6,7-DN]
Jolteon		[2,3,4,5,6/8,9-E]
Flareon		[13,14,15,16/3,4,5,6]
Porygon		[6,7,8,9/2,3,4,5]
Omanyte		[13,14,15,16/8,9,10,11,12]
Omastar		[13,14,15,16/8,9,10,11,12]
Kabuto		[12,13,14,15;7,8,9,10,15-15/4,5]
Kabutops	[12,13,14,15]
Aerodactyl	[12,13,14,15/5,6,7,8-LN]
Snorlax		[2,3,4,5/6,7,8,9-L/10,11]
Articuno	[2,3,4,5,6,7;10,11,12,7-7/14,13]
Zapdos		[12,13,14,15,16;9,10,11,16-16]
Moltres		[12,13,14,15/5,6,7,8/9,10,11-E]
Dratini		[12,13,10,14,15/11]
Dragonair	[12,13,14,15/6,7,8,9/11-D]
Dragonite	[3,4,5,2,6/7,8,9]
Mewtwo		[6,7,8,9/2,3,4,5-L-E]
Mew			[11,12,13,10,14,15-DN/5,4]
Chikorita	[3,4,5,6/7,8,9,10]
Bayleef		[3,4,5,6,7/8,9,10,11]
Meganium	[3,4,5,6/8,9,10,11]
Cyndaquil	[3,4,5,6/11,12,13,14/7,8,9,10-L]
Quilava		[3,4,5,6/11,12,13,14/7,8,9,10-L]
Typhlosion	[3,4,5,6/11,12,13,14/7,8,9,10-L]
Totodile	[3,4,5,6/8,9,10,11/14,15]
Croconaw	[3,4,5,6/9,10,11,12/13,14,15]
Feraligatr	[3,4,5,6/8,9,10,11/12,13,14,15]
Sentret		[3,4,5,6-L/7,8,9,10-D]
Furret		[3,4,5,7-L/6,8,9,10-D]
Hoothoot	[7,8,9,10/3,4,5,6-L-E/11,12,13-DN]
Noctowl		[7,8,9,10-LN/3,15,4,5,6-E]
Ledyba		[3,4,5,6/7,8,9,10-L]
Ledian		[3,4,5,6/7,8,9,10-L]
Spinarak	[3,4,5,6,7/8,9,10/11,12,13]
Ariados		[3,4,5,6,7/8,9,10/11,12,13]
Crobat		[3,4,5,6/9,10,11]
Chinchou	[3,4,5,6,7,8/9,10,11,12,13,14-DN]
Lanturn		[4,5,6,7,8/9,10,11,12,13-DN]
Pichu		[3,4,5,6,7/10,11,12]
Cleffa		[3,4,5,6/8,9,10,11,7]
Igglybuff	[3,4,5,6,7/10,11,14]
Togepi		[7,8,9,10,11-DN/14,15/12,13]
Togetic		[16,2,3,4,5,6-DN/14,15/12,13]
Natu		[3,4,5,6/10,11,12/7,8,9]
Xatu		[3,4,5,6/10,11,12/7,8,9]
Mareep		[3,4,5,6/7,8,9,10/11,12,13-D]
Flaaffy		[7,8,9,10,11/2,3,4,5,6-L/12,13,14-D]
Ampharos	[3,4,5,6//12,13,14,15-D]
Bellossom	[3,4,5/6,7,8/9,10,11/12,13,14-LN-E]
Marill		[7,8,9,11,10/13,14,15]
Azumarill	[7,8,9,10/13,14,15]
